location,target,type,quantile,forecast_date,target_end_date,value
2020-07-05,2 wk ahead cum death,2020-07-18,37,point,,1830.3333329999998
2020-07-05,3 wk ahead cum death,2020-07-25,37,point,,2135.666667
2020-07-05,4 wk ahead cum death,2020-08-01,37,point,,2505.0
forecast_date,target,target_end_date,location,type,quantile,value
2020-07-12,1 wk ahead inc death,2020-07-18,13,point,,239.66666669999998
2020-07-12,2 wk ahead inc death,2020-07-25,13,point,,260.0
2020-07-12,3 wk ahead inc death,2020-08-01,13,point,,296.3333333
2020-07-12,4 wk ahead inc death,2020-08-08,13,point,,343.3333333
2020-07-12,1 wk ahead cum death,2020-07-18,13,point,,3307.0
2020-07-12,2 wk ahead cum death,2020-07-25,13,point,,3567.0
2020-07-12,3 wk ahead cum death,2020-08-01,13,point,,3863.333333
2020-07-12,4 wk ahead cum death,2020-08-08,13,point,,4206.666667
2020-07-12,1 wk ahead inc death,2020-07-18,37,point,,233.0
2020-07-12,2 wk ahead inc death,2020-07-25,37,point,,305.3333333
2020-07-12,3 wk ahead inc death,2020-08-01,37,point,,369.3333333
2020-07-12,4 wk ahead inc death,2020-08-08,37,point,,487.66666669999995
2020-07-12,1 wk ahead cum death,2020-07-18,37,point,,1830.3333329999998
2020-07-12,2 wk ahead cum death,2020-07-25,37,point,,2135.666667
2020-07-12,3 wk ahead cum death,2020-08-01,37,point,,2505.0
2020-07-12,4 wk ahead cum death,2020-08-08,37,point,,2992.666667
forecast_date,target,target_end_date,location,type,quantile,value
2020-07-19,1 wk ahead inc death,2020-07-25,13,point,,260.0
2020-07-19,2 wk ahead inc death,2020-08-01,13,point,,296.3333333
2020-07-19,3 wk ahead inc death,2020-08-08,13,point,,343.3333333
2020-07-19,4 wk ahead inc death,2020-08-15,13,point,,394.6666667
2020-07-19,1 wk ahead cum death,2020-07-25,13,point,,3567.0
2020-07-19,2 wk ahead cum death,2020-08-01,13,point,,3863.333333
2020-07-19,3 wk ahead cum death,2020-08-08,13,point,,4206.666667
2020-07-19,4 wk ahead cum death,2020-08-15,13,point,,4601.333333
2020-07-19,1 wk ahead inc death,2020-07-25,37,point,,305.3333333
2020-07-19,2 wk ahead inc death,2020-08-01,37,point,,369.3333333
2020-07-19,3 wk ahead inc death,2020-08-08,37,point,,487.66666669999995
2020-07-19,4 wk ahead inc death,2020-08-15,37,point,,633.6666667000001
2020-07-19,1 wk ahead cum death,2020-07-25,37,point,,2135.666667
2020-07-19,2 wk ahead cum death,2020-08-01,37,point,,2505.0
2020-07-19,3 wk ahead cum death,2020-08-08,37,point,,2992.666667
2020-07-19,4 wk ahead cum death,2020-08-15,37,point,,3626.333333
forecast_date,target,target_end_date,location,type,quantile,value
2020-07-26,1 wk ahead inc death,2020-08-01,13,point,,296.3333333
2020-07-26,2 wk ahead inc death,2020-08-08,13,point,,343.3333333
2020-07-26,3 wk ahead inc death,2020-08-15,13,point,,394.6666667
2020-07-26,4 wk ahead inc death,2020-08-22,13,point,,447.66666669999995
2020-07-26,1 wk ahead cum death,2020-08-01,13,point,,3631.333333
2020-07-26,2 wk ahead cum death,2020-08-08,13,point,,3974.666667
2020-07-26,3 wk ahead cum death,2020-08-15,13,point,,4369.333333
2020-07-26,4 wk ahead cum death,2020-08-22,13,point,,4817.0
2020-07-26,1 wk ahead inc death,2020-08-01,37,point,,369.3333333
2020-07-26,2 wk ahead inc death,2020-08-08,37,point,,487.66666669999995
2020-07-26,3 wk ahead inc death,2020-08-15,37,point,,633.6666667000001
2020-07-26,4 wk ahead inc death,2020-08-22,37,point,,771.3333332999999
2020-07-26,1 wk ahead cum death,2020-08-01,37,point,,2031.0
2020-07-26,2 wk ahead cum death,2020-08-08,37,point,,2518.666667
2020-07-26,3 wk ahead cum death,2020-08-15,37,point,,3152.333333
2020-07-26,4 wk ahead cum death,2020-08-22,37,point,,3923.666667
forecast_date,target,target_end_date,location,type,quantile,value
2020-08-02,1 wk ahead inc death,2020-08-08,13,point,,322.3333333
2020-08-02,2 wk ahead inc death,2020-08-15,13,point,,356.6666667
2020-08-02,3 wk ahead inc death,2020-08-22,13,point,,426.33333330000005
2020-08-02,4 wk ahead inc death,2020-08-29,13,point,,500.66666669999995
2020-08-02,1 wk ahead cum death,2020-08-08,13,point,,4038.333333
2020-08-02,2 wk ahead cum death,2020-08-15,13,point,,4395.0
2020-08-02,3 wk ahead cum death,2020-08-22,13,point,,4821.333333
2020-08-02,4 wk ahead cum death,2020-08-29,13,point,,5322.0
2020-08-02,1 wk ahead inc death,2020-08-08,37,point,,305.3333333
2020-08-02,2 wk ahead inc death,2020-08-15,37,point,,369.3333333
2020-08-02,3 wk ahead inc death,2020-08-22,37,point,,487.66666669999995
2020-08-02,4 wk ahead inc death,2020-08-29,37,point,,633.6666667000001
2020-08-02,1 wk ahead cum death,2020-08-08,37,point,,2135.666667
2020-08-02,2 wk ahead cum death,2020-08-15,37,point,,2505.0
2020-08-02,3 wk ahead cum death,2020-08-22,37,point,,2992.666667
2020-08-02,4 wk ahead cum death,2020-08-29,37,point,,3626.333333
forecast_date,target,target_end_date,location,type,quantile,value
2020-08-09,1 wk ahead inc death,2020-08-15,13,point,,356.6666667
2020-08-09,2 wk ahead inc death,2020-08-22,13,point,,426.33333330000005
2020-08-09,3 wk ahead inc death,2020-08-29,13,point,,500.66666669999995
2020-08-09,4 wk ahead inc death,2020-09-05,13,point,,558.6666667000001
2020-08-09,1 wk ahead cum death,2020-08-15,13,point,,4395.0
2020-08-09,2 wk ahead cum death,2020-08-22,13,point,,4821.333333
2020-08-09,3 wk ahead cum death,2020-08-29,13,point,,5322.0
2020-08-09,4 wk ahead cum death,2020-09-05,13,point,,5880.666667
