,Unnamed: 0,forecast_date,target,target_end_date,location,type,quantile,value
196,4.0,2020-06-07,2 day ahead cum death,2020-06-09,US,point,,112275
197,5.0,2020-06-07,2 day ahead inc death,2020-06-09,US,point,,885
198,6.0,2020-06-07,3 day ahead cum death,2020-06-10,US,point,,113142
199,7.0,2020-06-07,3 day ahead inc death,2020-06-10,US,point,,877
200,8.0,2020-06-07,4 day ahead cum death,2020-06-11,US,point,,114004
201,9.0,2020-06-07,4 day ahead inc death,2020-06-11,US,point,,865
202,10.0,2020-06-07,5 day ahead cum death,2020-06-12,US,point,,114856
203,11.0,2020-06-07,5 day ahead inc death,2020-06-12,US,point,,853
204,12.0,2020-06-07,6 day ahead cum death,2020-06-13,US,point,,115708
205,13.0,2020-06-07,6 day ahead inc death,2020-06-13,US,point,,853
206,14.0,2020-06-07,7 day ahead cum death,2020-06-14,US,point,,116574
207,15.0,2020-06-07,7 day ahead inc death,2020-06-14,US,point,,866
208,0.0,2020-06-14,1 day ahead cum death,2020-06-15,US,point,,116571
209,1.0,2020-06-14,1 day ahead inc death,2020-06-15,US,point,,839
210,2.0,2020-06-14,1 wk ahead cum death,2020-06-20,US,point,,120630
211,3.0,2020-06-14,1 wk ahead inc death,2020-06-20,US,point,,6012
212,4.0,2020-06-14,2 day ahead cum death,2020-06-16,US,point,,117399
213,5.0,2020-06-14,2 day ahead inc death,2020-06-16,US,point,,840
214,6.0,2020-06-14,3 day ahead cum death,2020-06-17,US,point,,118217
215,7.0,2020-06-14,3 day ahead inc death,2020-06-17,US,point,,833
216,8.0,2020-06-14,4 day ahead cum death,2020-06-18,US,point,,119025
217,9.0,2020-06-14,4 day ahead inc death,2020-06-18,US,point,,825
218,10.0,2020-06-14,5 day ahead cum death,2020-06-19,US,point,,119826
219,11.0,2020-06-14,5 day ahead inc death,2020-06-19,US,point,,820
220,12.0,2020-06-14,6 day ahead cum death,2020-06-20,US,point,,120630
221,13.0,2020-06-14,6 day ahead inc death,2020-06-20,US,point,,823
222,14.0,2020-06-14,7 day ahead cum death,2020-06-21,US,point,,121448
223,15.0,2020-06-14,7 day ahead inc death,2020-06-21,US,point,,838
0,,2020-06-21,1 wk ahead cum death,2020-06-27,US,point,,123629
1,,2020-06-21,1 wk ahead inc death,2020-06-27,US,point,,4478
0,,2020-06-28,1 wk ahead cum death,2020-07-04,US,point,,129321
1,,2020-06-28,1 wk ahead inc death,2020-07-04,US,point,,4359
